source_index,timestamp,latitude,longitude,sensor_source,length_m,width_m,era5_covered,glorys_covered,environment_matched,openberg_geometry_compatible,geometry_compatibility_reason
0,2020-04-13,-74.3134,-130.16,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
1,2020-04-14,-73.75,-128.6833,NIC,0.0,0.0,False,False,False,False,length_below_openberg_minimum
2,2020-04-15,-74.1781,-130.1439,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
3,2020-04-16,-74.0979,-130.1289,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
4,2020-04-17,-74.0448,-130.0102,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
5,2020-04-18,-73.9708,-129.8345,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
6,2020-04-19,-73.9205,-129.4895,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
7,2020-04-20,-73.8631,-129.3247,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
8,2020-04-21,-73.7759,-128.9269,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
9,2020-04-22,-73.769,-128.8644,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
10,2020-04-23,-73.7505,-128.6215,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
11,2020-04-24,-73.712,-128.6586,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
12,2020-04-25,-73.6533,-128.4869,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
13,2020-04-26,-73.6533,-128.4869,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
14,2020-04-27,-73.5901,-128.3096,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
15,2020-04-28,-73.5716,-128.258,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
16,2020-04-29,-73.5716,-128.258,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
17,2020-04-30,-73.5716,-128.258,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
18,2020-05-01,-73.5716,-128.258,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
19,2020-05-02,-73.5716,-128.258,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
20,2020-05-03,-73.6392,-128.2133,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
21,2020-05-04,-73.6392,-128.2133,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
22,2020-05-05,-73.6392,-128.2133,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
23,2020-05-06,-73.6541,-128.2134,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
24,2020-05-07,-73.6947,-128.0977,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
25,2020-05-08,-73.7322,-127.9265,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
26,2020-05-09,-73.817,-127.9801,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
27,2020-05-10,-73.817,-127.9801,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
28,2020-05-11,-73.8245,-127.9802,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
29,2020-05-12,-73.8433,-127.9805,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
30,2020-05-13,-73.8677,-127.9809,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
31,2020-05-14,-73.8921,-127.9812,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
32,2020-05-15,-73.9109,-127.9815,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
33,2020-05-16,-73.9184,-127.9816,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
34,2020-05-17,-73.9184,-127.9816,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
35,2020-05-18,-73.9184,-127.9816,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
36,2020-05-19,-73.9492,-128.3692,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
37,2020-05-20,-73.8941,-128.5353,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
38,2020-05-21,-73.8806,-128.5387,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
39,2020-05-22,-73.87,-128.5412,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
40,2020-05-23,-73.8621,-128.5429,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
41,2020-05-24,-73.8567,-128.5439,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
42,2020-05-25,-73.8537,-128.5444,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
43,2020-05-26,-73.8527,-128.5445,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
44,2020-05-27,-73.8527,-128.5445,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
45,2020-05-28,-73.8596,-128.9507,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
46,2020-05-29,-73.8375,-129.0201,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
47,2020-05-30,-73.8375,-129.0201,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
48,2020-05-31,-73.8364,-129.0364,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
49,2020-06-01,-73.8331,-129.0789,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
50,2020-06-02,-73.8275,-129.138,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
51,2020-06-03,-73.8197,-129.204,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
52,2020-06-04,-73.8097,-129.2673,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
53,2020-06-05,-73.7973,-129.3181,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
54,2020-06-06,-73.7612,-129.3557,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
55,2020-06-07,-73.7839,-129.4175,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
56,2020-06-08,-73.7839,-129.4175,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
57,2020-06-09,-73.8102,-129.7841,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
58,2020-06-10,-73.8255,-129.9306,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
59,2020-06-11,-73.8393,-130.0527,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
60,2020-06-12,-73.851,-130.1496,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
61,2020-06-13,-73.8601,-130.2201,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
62,2020-06-14,-73.8659,-130.2631,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
63,2020-06-15,-73.868,-130.2777,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
64,2020-06-16,-73.8273,-130.1589,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
65,2020-06-17,-73.8273,-130.1589,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
66,2020-06-18,-73.7656,-129.9731,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
67,2020-06-19,-73.802,-130.3737,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
68,2020-06-20,-73.8145,-130.4322,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
69,2020-06-21,-73.8247,-130.4763,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
70,2020-06-22,-73.8327,-130.5077,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
71,2020-06-23,-73.8383,-130.5281,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
72,2020-06-24,-73.8417,-130.5391,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
73,2020-06-25,-73.8428,-130.5424,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
74,2020-06-26,-73.8428,-130.5424,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
75,2020-06-27,-73.8428,-130.5424,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
76,2020-06-28,-73.8428,-130.5424,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
77,2020-06-29,-73.8428,-130.5424,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
78,2020-06-30,-73.8428,-130.5424,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
79,2020-07-01,-73.8434,-130.5894,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
80,2020-07-02,-73.8449,-130.7054,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
81,2020-07-03,-73.8466,-130.8526,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
82,2020-07-04,-73.8481,-130.9935,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
83,2020-07-05,-73.8487,-131.0905,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
84,2020-07-06,-73.8261,-131.1533,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
85,2020-07-07,-73.8035,-131.1849,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
86,2020-07-08,-73.8035,-131.1849,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
87,2020-07-09,-73.8035,-131.1849,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
88,2020-07-10,-73.8035,-131.1849,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
89,2020-07-11,-73.8009,-131.2718,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
90,2020-07-12,-73.7983,-131.3608,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
91,2020-07-13,-73.8002,-131.3643,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
92,2020-07-14,-73.8054,-131.3668,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
93,2020-07-15,-73.8133,-131.3685,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
94,2020-07-16,-73.823,-131.3694,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
95,2020-07-17,-73.8341,-131.3697,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
96,2020-07-18,-73.8578,-131.2648,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
97,2020-07-19,-73.8757,-131.1599,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
98,2020-07-20,-73.8757,-131.1599,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
99,2020-07-21,-73.8757,-131.1599,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
100,2020-07-22,-73.8263,-131.2072,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
101,2020-07-23,-73.8263,-131.2072,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
102,2020-07-24,-73.8263,-131.2072,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
103,2020-07-25,-73.829,-131.2003,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
104,2020-07-26,-73.8354,-131.1837,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
105,2020-07-27,-73.8431,-131.1639,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
106,2020-07-28,-73.8495,-131.1473,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
107,2020-07-29,-73.8522,-131.1404,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
108,2020-07-30,-73.8522,-131.1404,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
109,2020-07-31,-73.8522,-131.1404,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
110,2020-08-01,-73.8522,-131.1404,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
111,2020-08-02,-73.8121,-131.4591,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
112,2020-08-03,-73.8121,-131.4591,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
113,2020-08-04,-73.8121,-131.4591,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
114,2020-08-05,-73.8121,-131.4591,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
115,2020-08-06,-73.805,-131.5187,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
116,2020-08-07,-73.7873,-131.675,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
117,2020-08-08,-73.7643,-131.8946,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
118,2020-08-09,-73.7413,-132.1439,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
119,2020-08-10,-73.7236,-132.3894,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
120,2020-08-11,-73.7165,-132.5974,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
121,2020-08-12,-73.7386,-132.8126,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
122,2020-08-13,-73.7606,-132.9388,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
123,2020-08-14,-73.7606,-132.9388,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
124,2020-08-15,-73.7606,-132.9388,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
125,2020-08-16,-73.7606,-132.9388,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
126,2020-08-17,-73.7606,-132.9388,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
127,2020-08-18,-73.7606,-132.9388,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
128,2020-08-19,-73.7524,-133.0149,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
129,2020-08-20,-73.7371,-133.1563,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
130,2020-08-21,-73.7289,-133.2324,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
131,2020-08-22,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
132,2020-08-23,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
133,2020-08-24,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
134,2020-08-25,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
135,2020-08-26,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
136,2020-08-27,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
137,2020-08-28,-73.7289,-133.2324,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
138,2020-08-29,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
139,2020-08-30,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
140,2020-08-31,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
141,2020-09-01,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
142,2020-09-02,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
143,2020-09-03,-73.7289,-133.2324,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
144,2020-09-04,-73.72,-133.02,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
145,2020-09-05,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
146,2020-09-06,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
147,2020-09-07,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
148,2020-09-08,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
149,2020-09-09,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
150,2020-09-10,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
151,2020-09-11,-73.72,-133.02,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
152,2020-09-12,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
153,2020-09-13,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
154,2020-09-14,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
155,2020-09-15,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
156,2020-09-16,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
157,2020-09-17,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
158,2020-09-18,-73.72,-133.02,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
159,2020-09-19,-73.72,-133.02,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
160,2020-09-20,-73.72,-133.15,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
161,2020-09-21,-73.72,-133.15,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
162,2020-09-22,-73.72,-133.15,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
163,2020-09-23,-73.72,-133.15,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
164,2020-09-24,-73.7661,-133.1798,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
165,2020-09-25,-73.8122,-133.2096,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
166,2020-09-26,-73.8122,-133.2096,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
167,2020-09-27,-73.8122,-133.2096,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
168,2020-09-28,-73.8122,-133.2096,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
169,2020-09-29,-73.788,-133.2022,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
170,2020-09-30,-73.7638,-133.1947,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
171,2020-10-01,-73.7638,-133.1947,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
172,2020-10-02,-73.7638,-133.1947,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
173,2020-10-03,-73.7638,-133.1947,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
174,2020-10-04,-73.7846,-133.6615,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
175,2020-10-05,-73.7846,-133.6615,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
176,2020-10-06,-73.7846,-133.6615,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
177,2020-10-07,-73.7846,-133.6615,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
178,2020-10-08,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
179,2020-10-09,-73.76,-133.11,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
180,2020-10-10,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
181,2020-10-11,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
182,2020-10-12,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
183,2020-10-13,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
184,2020-10-14,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
185,2020-10-15,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
186,2020-10-16,-73.76,-133.11,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
187,2020-10-17,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
188,2020-10-18,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
189,2020-10-19,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
190,2020-10-20,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
191,2020-10-21,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
192,2020-10-22,-73.76,-133.11,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
193,2020-10-23,-73.76,-133.11,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
194,2020-10-24,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
195,2020-10-25,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
196,2020-10-26,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
197,2020-10-27,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
198,2020-10-28,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
199,2020-10-29,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
200,2020-10-30,-73.6963,-133.0676,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
201,2020-10-31,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
202,2020-11-01,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
203,2020-11-02,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
204,2020-11-03,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
205,2020-11-04,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
206,2020-11-05,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
207,2020-11-06,-73.6963,-133.0676,ASCAT,27780.0,11112.0,False,False,False,False,length_exceeds_openberg_maximum
208,2020-11-07,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
209,2020-11-08,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
210,2020-11-09,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
211,2020-11-10,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
212,2020-11-11,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
213,2020-11-12,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
214,2020-11-13,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
215,2020-11-14,-73.6963,-133.0676,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
216,2020-11-15,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
217,2020-11-16,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
218,2020-11-17,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
219,2020-11-18,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
220,2020-11-19,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
221,2020-11-20,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
222,2020-11-21,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
223,2020-11-22,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
224,2020-11-23,-73.7336,-133.341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
225,2020-11-24,-73.6931,-133.4792,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
226,2020-11-25,-73.6931,-133.4792,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
227,2020-11-26,-73.6931,-133.4792,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
228,2020-11-27,-73.6931,-133.4792,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
229,2020-11-28,-73.6931,-133.4792,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
230,2020-11-29,-73.6931,-133.4792,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
231,2020-11-30,-73.6954,-133.47,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
232,2020-12-01,-73.6977,-133.4609,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
233,2020-12-02,-73.6977,-133.4609,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
234,2020-12-03,-73.6977,-133.4609,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
235,2020-12-04,-73.6736,-133.8932,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
236,2020-12-05,-73.6736,-133.8932,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
237,2020-12-06,-73.6586,-133.9358,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
238,2020-12-07,-73.6436,-133.9785,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
239,2020-12-08,-73.6436,-133.9785,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
240,2020-12-09,-73.6436,-133.9785,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
241,2020-12-10,-73.6436,-133.9785,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
242,2020-12-11,-73.5842,-134.0057,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
243,2020-12-12,-73.5247,-134.0752,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
244,2020-12-13,-73.5354,-134.3496,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
245,2020-12-14,-73.5595,-134.7411,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
246,2020-12-15,-73.6062,-135.0494,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
247,2020-12-16,-73.649,-135.301,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
248,2020-12-17,-73.7639,-135.3953,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
249,2020-12-18,-73.8153,-135.4874,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
250,2020-12-19,-73.9537,-136.1124,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
